ticket_id,priority,status,category,subject,description,created_date,resolved_date,assigned_to
TCK0024,High,Open,Database,Password Reset,Password Reset reported by user.,2024-03-17,,Mike
TCK0025,Medium,Open,Security,Access Denied,Access Denied reported by user.,2024-08-09,,Unassigned
TCK0026,High,In Progress,Hardware,Access Denied,Access Denied reported by user.,2024-09-21,,John
TCK0027,High,Closed,Database,System Crash,System Crash reported by user.,2024-05-15,2024-05-24,Omar
TCK0028,Medium,Open,Database,Access Denied,Access Denied reported by user.,2024-08-11,,Fatima
TCK0029,High,Closed,Access,Login Issue,Login Issue reported by user.,2024-02-06,2024-02-09,Ayesha
TCK0030,Medium,In Progress,Access,Network Down,Network Down reported by user.,2024-02-19,,Fatima
TCK0031,Low,Closed,Network,System Crash,System Crash reported by user.,2024-10-17,2024-10-23,John
TCK0032,Medium,Resolved,Access,System Crash,System Crash reported by user.,2024-04-09,2024-04-13,John
TCK0033,Low,Open,Database,System Crash,System Crash reported by user.,2024-04-21,,Sara
TCK0034,Low,Closed,Hardware,Slow Performance,Slow Performance reported by user.,2024-09-05,2024-09-06,Sara
TCK0035,Low,Closed,Database,Access Denied,Access Denied reported by user.,2024-06-12,2024-06-15,Omar
TCK0036,Critical,Resolved,Database,Access Denied,Access Denied reported by user.,2024-07-09,2024-07-17,Unassigned
TCK0037,High,Closed,Network,Access Denied,Access Denied reported by user.,2024-12-01,2024-12-02,Sara
TCK0038,Medium,In Progress,Network,Login Issue,Login Issue reported by user.,2024-07-02,,Omar
TCK0039,High,Resolved,Hardware,Slow Performance,Slow Performance reported by user.,2024-02-02,2024-02-08,Unassigned
TCK0040,Low,Resolved,Hardware,Password Reset,Password Reset reported by user.,2024-05-29,2024-06-07,Unassigned
TCK0041,Low,Open,Access,Password Reset,Password Reset reported by user.,2024-01-15,,Unassigned
TCK0042,Medium,Closed,Database,Password Reset,Password Reset reported by user.,2024-08-27,2024-08-30,John
TCK0043,Critical,In Progress,Software,Login Issue,Login Issue reported by user.,2024-01-24,,Sara
TCK0044,Low,Resolved,Security,Access Denied,Access Denied reported by user.,2024-11-19,2024-11-24,Unassigned
TCK0045,Low,Closed,Hardware,Password Reset,Password Reset reported by user.,2024-08-31,2024-09-02,John
TCK0046,Critical,Closed,Network,System Crash,System Crash reported by user.,2024-03-31,2024-04-09,John
TCK0047,Medium,Resolved,Software,System Crash,System Crash reported by user.,2024-07-25,2024-08-03,Fatima
TCK0048,High,In Progress,Software,Network Down,Network Down reported by user.,2024-04-26,,John
TCK0049,Medium,Closed,Network,Slow Performance,Slow Performance reported by user.,2024-03-04,2024-03-13,Unassigned
TCK0050,Low,Closed,Software,Slow Performance,Slow Performance reported by user.,2024-01-30,2024-02-01,Omar
TCK0051,High,Resolved,Software,Network Down,Network Down reported by user.,2024-08-14,2024-08-16,Ayesha
TCK0052,Medium,Open,Software,Access Denied,Access Denied reported by user.,2024-09-06,,Unassigned
TCK0053,Critical,In Progress,Access,Login Issue,Login Issue reported by user.,2024-02-11,,Unassigned
TCK0054,Low,Resolved,Hardware,Slow Performance,Slow Performance reported by user.,2024-12-17,2024-12-22,John
TCK0055,Critical,Open,Access,Login Issue,Login Issue reported by user.,2024-08-05,,Ayesha
TCK0056,Medium,Resolved,Hardware,System Crash,System Crash reported by user.,2024-03-15,2024-03-16,Sara
TCK0057,Critical,Resolved,Network,Access Denied,Access Denied reported by user.,2024-06-29,2024-07-06,Unassigned
TCK0058,Critical,Closed,Access,Access Denied,Access Denied reported by user.,2024-06-23,2024-06-30,Unassigned
TCK0059,Low,Resolved,Access,Password Reset,Password Reset reported by user.,2024-03-26,2024-03-30,Mike
TCK0060,Critical,Open,Access,System Crash,System Crash reported by user.,2024-08-20,,Unassigned
TCK0061,High,Open,Software,Network Down,Network Down reported by user.,2024-09-19,,Sara
TCK0062,Low,Closed,Network,Slow Performance,Slow Performance reported by user.,2024-06-18,2024-06-24,Fatima
TCK0063,Low,In Progress,Hardware,Slow Performance,Slow Performance reported by user.,2024-11-12,,Fatima
TCK0064,Low,Open,Database,Access Denied,Access Denied reported by user.,2024-01-25,,Mike
TCK0065,Low,In Progress,Network,Password Reset,Password Reset reported by user.,2024-04-28,,Mike
TCK0066,Medium,Open,Database,System Crash,System Crash reported by user.,2024-01-20,,Unassigned
TCK0067,Low,Open,Network,Access Denied,Access Denied reported by user.,2024-01-31,,Fatima
TCK0068,Low,In Progress,Hardware,Login Issue,Login Issue reported by user.,2024-07-24,,John
TCK0069,Medium,Closed,Software,Network Down,Network Down reported by user.,2024-04-04,2024-04-12,Mike
TCK0070,Critical,Resolved,Access,Access Denied,Access Denied reported by user.,2024-01-04,2024-01-14,John
TCK0071,Critical,Resolved,Software,Password Reset,Password Reset reported by user.,2024-02-01,2024-02-06,Fatima
TCK0072,High,Closed,Database,Access Denied,Access Denied reported by user.,2024-12-04,2024-12-09,Omar
TCK0073,High,Closed,Hardware,Slow Performance,Slow Performance reported by user.,2024-01-01,2024-01-02,Unassigned
TCK0074,Medium,Resolved,Access,Password Reset,Password Reset reported by user.,2024-12-11,2024-12-19,Mike
TCK0075,Medium,Closed,Security,Password Reset,Password Reset reported by user.,2024-07-05,2024-07-15,Unassigned
TCK0076,Low,Resolved,Software,Network Down,Network Down reported by user.,2024-07-26,2024-07-28,Fatima
TCK0077,Critical,Open,Software,Password Reset,Password Reset reported by user.,2024-05-30,,Sara
TCK0078,Low,Resolved,Hardware,System Crash,System Crash reported by user.,2024-06-01,2024-06-08,Mike
TCK0079,Medium,Open,Access,Password Reset,Password Reset reported by user.,2024-04-07,,Mike
TCK0080,Critical,In Progress,Software,System Crash,System Crash reported by user.,2024-07-07,,Fatima
TCK0081,High,Resolved,Security,Login Issue,Login Issue reported by user.,2024-01-09,2024-01-12,Omar
TCK0082,High,In Progress,Network,Access Denied,Access Denied reported by user.,2024-08-24,,Unassigned
TCK0083,Critical,Open,Access,Password Reset,Password Reset reported by user.,2024-03-07,,Unassigned
TCK0084,High,Closed,Software,System Crash,System Crash reported by user.,2024-04-15,2024-04-16,Mike
TCK0085,Medium,Closed,Network,System Crash,System Crash reported by user.,2024-03-22,2024-03-29,Ayesha
TCK0086,High,Resolved,Access,System Crash,System Crash reported by user.,2024-06-24,2024-06-27,Sara
TCK0087,Medium,Open,Network,Login Issue,Login Issue reported by user.,2024-06-19,,John
TCK0088,Low,Resolved,Access,Password Reset,Password Reset reported by user.,2024-06-27,2024-07-02,John
TCK0089,Medium,In Progress,Database,Access Denied,Access Denied reported by user.,2024-01-02,,Ayesha
TCK0090,Medium,Open,Software,Login Issue,Login Issue reported by user.,2024-08-02,,John
TCK0091,Low,Closed,Hardware,Login Issue,Login Issue reported by user.,2024-02-12,2024-02-19,John
TCK0092,Medium,Open,Access,System Crash,System Crash reported by user.,2024-11-18,,John
TCK0093,Low,Open,Access,Login Issue,Login Issue reported by user.,2024-03-05,,Omar
TCK0094,Critical,Open,Database,System Crash,System Crash reported by user.,2024-05-24,,Mike
TCK0095,High,Open,Database,Network Down,Network Down reported by user.,2024-05-11,,Unassigned
TCK0096,Medium,Closed,Hardware,Login Issue,Login Issue reported by user.,2024-07-14,2024-07-24,Omar
TCK0097,High,Open,Database,Password Reset,Password Reset reported by user.,2024-12-08,,Sara
TCK0098,High,Closed,Hardware,Password Reset,Password Reset reported by user.,2024-11-22,2024-11-30,Sara
TCK0099,Medium,In Progress,Security,Login Issue,Login Issue reported by user.,2024-08-19,,Unassigned
TCK0100,High,Open,Database,Access Denied,Access Denied reported by user.,2024-10-29,,Mike
TCK0101,High,Resolved,Software,Password Reset,Password Reset reported by user.,2024-09-08,2024-09-11,Fatima
TCK0102,Critical,Open,Security,System Crash,System Crash reported by user.,2024-08-18,,Mike
TCK0103,High,Closed,Network,Slow Performance,Slow Performance reported by user.,2024-11-01,2024-11-01,Mike
TCK0104,High,Open,Hardware,Network Down,Network Down reported by user.,2024-02-12,,Omar
TCK0105,High,Closed,Software,Login Issue,Login Issue reported by user.,2024-03-10,2024-03-12,Omar
TCK0106,Low,Resolved,Network,System Crash,System Crash reported by user.,2024-06-28,2024-06-30,Sara
TCK0107,Medium,Closed,Access,Password Reset,Password Reset reported by user.,2024-05-20,2024-05-20,Mike
TCK0108,Medium,Open,Software,Slow Performance,Slow Performance reported by user.,2024-04-18,,Ayesha
TCK0109,Critical,Open,Access,System Crash,System Crash reported by user.,2024-10-29,,Omar
TCK0110,High,Open,Database,Network Down,Network Down reported by user.,2024-06-29,,Ayesha
TCK0111,High,In Progress,Access,System Crash,System Crash reported by user.,2024-12-07,,Ayesha
TCK0112,Medium,Closed,Security,System Crash,System Crash reported by user.,2024-02-24,2024-03-04,Fatima
TCK0113,Low,In Progress,Hardware,System Crash,System Crash reported by user.,2024-02-18,,Omar
TCK0114,Medium,Open,Network,Login Issue,Login Issue reported by user.,2024-04-21,,Sara
TCK0115,Medium,Closed,Hardware,Slow Performance,Slow Performance reported by user.,2024-07-14,2024-07-17,Omar
TCK0116,Critical,In Progress,Network,Slow Performance,Slow Performance reported by user.,2024-03-12,,Unassigned
TCK0117,Medium,Resolved,Access,System Crash,System Crash reported by user.,2024-05-29,2024-06-04,Mike
TCK0118,Critical,Closed,Software,System Crash,System Crash reported by user.,2024-05-26,2024-05-31,Fatima
TCK0119,Critical,Closed,Security,Login Issue,Login Issue reported by user.,2024-06-28,2024-06-30,Fatima
TCK0120,Low,In Progress,Access,Login Issue,Login Issue reported by user.,2024-10-13,,John
TCK0121,High,Open,Access,Password Reset,Password Reset reported by user.,2024-04-22,,Mike
TCK0122,Medium,In Progress,Database,System Crash,System Crash reported by user.,2024-12-06,,Omar
TCK0123,Critical,Resolved,Software,Login Issue,Login Issue reported by user.,2024-02-22,2024-03-01,Ayesha
TCK0124,Critical,Resolved,Hardware,System Crash,System Crash reported by user.,2024-10-19,2024-10-23,Fatima
TCK0125,Critical,Closed,Database,Password Reset,Password Reset reported by user.,2024-04-17,2024-04-24,Ayesha
TCK0126,Medium,Open,Software,Password Reset,Password Reset reported by user.,2024-09-17,,Ayesha
TCK0127,Low,Closed,Security,Slow Performance,Slow Performance reported by user.,2024-05-16,2024-05-25,John
TCK0128,Low,Closed,Database,Login Issue,Login Issue reported by user.,2024-03-05,2024-03-06,Unassigned
TCK0129,Medium,Resolved,Database,System Crash,System Crash reported by user.,2024-12-01,2024-12-05,Sara
TCK0130,High,Closed,Network,Login Issue,Login Issue reported by user.,2024-12-30,2025-01-06,Fatima
TCK0131,Low,Closed,Access,Password Reset,Password Reset reported by user.,2024-02-07,2024-02-14,Ayesha
TCK0132,Low,Open,Network,Network Down,Network Down reported by user.,2024-11-10,,Mike
TCK0133,Low,In Progress,Security,Network Down,Network Down reported by user.,2024-03-03,,Ayesha
TCK0134,Critical,Resolved,Network,Login Issue,Login Issue reported by user.,2024-07-19,2024-07-28,Fatima
TCK0135,Medium,Resolved,Database,System Crash,System Crash reported by user.,2024-03-27,2024-04-06,Omar
TCK0136,Critical,Resolved,Security,Access Denied,Access Denied reported by user.,2024-06-15,2024-06-21,Omar
TCK0137,Critical,Open,Network,Password Reset,Password Reset reported by user.,2024-06-21,,Fatima
TCK0138,High,In Progress,Software,Network Down,Network Down reported by user.,2024-11-27,,John
TCK0139,Medium,Open,Network,Login Issue,Login Issue reported by user.,2024-06-30,,Fatima
TCK0140,Medium,Resolved,Database,System Crash,System Crash reported by user.,2024-06-28,2024-07-05,Sara
TCK0141,Low,Resolved,Database,Slow Performance,Slow Performance reported by user.,2024-07-29,2024-08-05,Unassigned
TCK0142,Low,Closed,Hardware,Slow Performance,Slow Performance reported by user.,2024-06-09,2024-06-12,John
TCK0143,Critical,Closed,Hardware,Login Issue,Login Issue reported by user.,2024-09-29,2024-10-02,Fatima
TCK0144,Medium,In Progress,Hardware,Access Denied,Access Denied reported by user.,2024-08-25,,Ayesha
TCK0145,Medium,Closed,Network,System Crash,System Crash reported by user.,2024-07-15,2024-07-23,John
TCK0146,Low,Closed,Security,Network Down,Network Down reported by user.,2024-06-21,2024-06-25,Mike
TCK0147,Critical,Open,Security,Slow Performance,Slow Performance reported by user.,2024-10-11,,Unassigned
TCK0148,Low,In Progress,Software,Password Reset,Password Reset reported by user.,2024-09-20,,Fatima
TCK0149,Medium,Resolved,Hardware,Access Denied,Access Denied reported by user.,2024-07-24,2024-07-31,Sara
TCK0150,Medium,In Progress,Hardware,System Crash,System Crash reported by user.,2024-02-13,,Fatima
TCK0151,Medium,Closed,Access,Password Reset,Password Reset reported by user.,2024-01-28,2024-02-07,Sara
TCK0152,Medium,In Progress,Software,Network Down,Network Down reported by user.,2024-07-01,,Ayesha
TCK0153,Medium,In Progress,Hardware,Network Down,Network Down reported by user.,2024-02-27,,Mike
TCK0154,Medium,Resolved,Software,Login Issue,Login Issue reported by user.,2024-12-11,2024-12-20,Mike
TCK0155,Critical,Resolved,Access,Slow Performance,Slow Performance reported by user.,2024-05-10,2024-05-16,Ayesha
TCK0156,Medium,Resolved,Security,System Crash,System Crash reported by user.,2024-05-13,2024-05-16,Omar
TCK0157,Medium,Open,Network,System Crash,System Crash reported by user.,2024-09-14,,Sara
TCK0158,High,Closed,Hardware,System Crash,System Crash reported by user.,2024-07-06,2024-07-09,Fatima
TCK0159,Medium,In Progress,Software,Slow Performance,Slow Performance reported by user.,2024-03-17,,Fatima
TCK0160,Critical,Closed,Network,Access Denied,Access Denied reported by user.,2024-12-30,2025-01-06,Mike
TCK0161,Critical,Closed,Software,Network Down,Network Down reported by user.,2024-03-30,2024-04-02,Unassigned
TCK0162,Critical,Closed,Security,System Crash,System Crash reported by user.,2024-03-19,2024-03-26,Mike
TCK0163,Low,Open,Hardware,Slow Performance,Slow Performance reported by user.,2024-12-23,,Ayesha
TCK0164,Medium,Resolved,Network,Slow Performance,Slow Performance reported by user.,2024-09-16,2024-09-16,Mike
TCK0165,High,Open,Hardware,Login Issue,Login Issue reported by user.,2024-12-28,,Fatima
TCK0166,High,Open,Security,Password Reset,Password Reset reported by user.,2024-08-26,,John
TCK0167,Critical,Closed,Software,Slow Performance,Slow Performance reported by user.,2024-03-23,2024-03-30,Omar
TCK0168,High,Open,Access,Password Reset,Password Reset reported by user.,2024-03-25,,Fatima
TCK0169,Low,Resolved,Access,Login Issue,Login Issue reported by user.,2024-08-01,2024-08-03,Fatima
TCK0170,Medium,Closed,Software,Login Issue,Login Issue reported by user.,2024-09-28,2024-10-05,Omar
TCK0171,Low,Closed,Hardware,Slow Performance,Slow Performance reported by user.,2024-07-31,2024-08-10,John
TCK0172,Critical,In Progress,Hardware,Slow Performance,Slow Performance reported by user.,2024-06-13,,Sara
TCK0173,High,In Progress,Network,Login Issue,Login Issue reported by user.,2024-10-21,,Sara
TCK0174,Low,Open,Network,Login Issue,Login Issue reported by user.,2024-08-30,,Sara
TCK0175,Medium,Open,Network,System Crash,System Crash reported by user.,2024-11-01,,John
TCK0176,High,Closed,Security,Slow Performance,Slow Performance reported by user.,2024-07-28,2024-07-29,Sara
TCK0177,Critical,Closed,Database,System Crash,System Crash reported by user.,2024-04-07,2024-04-16,John
TCK0178,Medium,Closed,Hardware,Password Reset,Password Reset reported by user.,2024-07-26,2024-08-03,Unassigned
TCK0179,Low,In Progress,Network,Slow Performance,Slow Performance reported by user.,2024-07-09,,Fatima
TCK0180,Medium,Resolved,Security,Slow Performance,Slow Performance reported by user.,2024-01-26,2024-01-29,John
TCK0181,High,Open,Access,Access Denied,Access Denied reported by user.,2024-03-11,,Omar
TCK0182,High,Closed,Access,Password Reset,Password Reset reported by user.,2024-11-05,2024-11-15,Fatima
TCK0183,Critical,Open,Security,Login Issue,Login Issue reported by user.,2024-02-01,,Ayesha
TCK0184,Low,Closed,Hardware,Access Denied,Access Denied reported by user.,2024-01-21,2024-01-27,Fatima
TCK0185,Medium,In Progress,Network,Access Denied,Access Denied reported by user.,2024-06-13,,Sara
TCK0186,High,Closed,Software,System Crash,System Crash reported by user.,2024-06-16,2024-06-22,Mike
TCK0187,High,Open,Access,Network Down,Network Down reported by user.,2024-12-21,,Ayesha
TCK0188,High,Resolved,Network,Password Reset,Password Reset reported by user.,2024-04-17,2024-04-26,Omar
TCK0189,High,Closed,Security,System Crash,System Crash reported by user.,2024-04-19,2024-04-20,Mike
TCK0190,Low,Resolved,Network,System Crash,System Crash reported by user.,2024-10-25,2024-10-29,Mike
TCK0191,Medium,Resolved,Hardware,Password Reset,Password Reset reported by user.,2024-01-21,2024-01-23,Sara
TCK0192,Medium,Resolved,Database,Login Issue,Login Issue reported by user.,2024-05-17,2024-05-25,Omar
TCK0193,High,Closed,Access,Network Down,Network Down reported by user.,2024-11-13,2024-11-18,Fatima
TCK0194,High,Open,Software,Network Down,Network Down reported by user.,2024-02-03,,John
TCK0195,High,In Progress,Security,Access Denied,Access Denied reported by user.,2024-06-03,,John
TCK0196,Low,Open,Software,Login Issue,Login Issue reported by user.,2024-02-27,,Ayesha
TCK0197,Medium,Closed,Security,Network Down,Network Down reported by user.,2024-10-13,2024-10-21,John
TCK0198,High,Resolved,Software,Access Denied,Access Denied reported by user.,2024-06-11,2024-06-15,Omar
TCK0199,Medium,In Progress,Security,Password Reset,Password Reset reported by user.,2024-10-17,,Omar
TCK0200,Low,Resolved,Security,Network Down,Network Down reported by user.,2024-01-06,2024-01-14,Fatima
TCK0201,Low,Open,Software,Slow Performance,Slow Performance reported by user.,2024-07-21,,Sara
TCK0202,Low,In Progress,Security,Password Reset,Password Reset reported by user.,2024-06-23,,Ayesha
TCK0203,Medium,Closed,Security,Slow Performance,Slow Performance reported by user.,2024-04-26,2024-04-26,Fatima
TCK0204,Critical,In Progress,Security,Network Down,Network Down reported by user.,2024-02-22,,John
TCK0205,Medium,In Progress,Network,Network Down,Network Down reported by user.,2024-10-12,,Unassigned
TCK0206,Critical,In Progress,Access,Slow Performance,Slow Performance reported by user.,2024-08-26,,Omar
TCK0207,Critical,Closed,Access,Slow Performance,Slow Performance reported by user.,2024-05-23,2024-05-31,Ayesha
TCK0208,Low,Open,Hardware,System Crash,System Crash reported by user.,2024-11-05,,Mike
TCK0209,Critical,Open,Hardware,System Crash,System Crash reported by user.,2024-01-03,,Fatima
TCK0210,Critical,Open,Database,Login Issue,Login Issue reported by user.,2024-10-07,,Unassigned
TCK0211,High,In Progress,Software,System Crash,System Crash reported by user.,2024-01-18,,Unassigned
TCK0212,Medium,Closed,Database,Network Down,Network Down reported by user.,2024-09-04,2024-09-09,Omar
TCK0213,Critical,Resolved,Access,Slow Performance,Slow Performance reported by user.,2024-04-18,2024-04-18,Sara
TCK0214,Critical,In Progress,Security,Access Denied,Access Denied reported by user.,2024-02-16,,Sara
TCK0215,Critical,Resolved,Access,Network Down,Network Down reported by user.,2024-04-25,2024-05-05,Ayesha
TCK0216,High,Closed,Security,System Crash,System Crash reported by user.,2024-03-22,2024-03-22,Omar
TCK0217,Low,Open,Network,Network Down,Network Down reported by user.,2024-07-13,,Unassigned
TCK0218,Medium,Closed,Access,Network Down,Network Down reported by user.,2024-10-18,2024-10-23,Unassigned
TCK0219,High,Open,Software,System Crash,System Crash reported by user.,2024-04-26,,John
TCK0220,High,Resolved,Access,Login Issue,Login Issue reported by user.,2024-01-05,2024-01-06,John
TCK0221,Medium,Open,Software,Network Down,Network Down reported by user.,2024-07-31,,Sara
TCK0222,High,Closed,Security,Network Down,Network Down reported by user.,2024-03-28,2024-04-01,Fatima
TCK0223,Medium,Closed,Security,Access Denied,Access Denied reported by user.,2024-09-12,2024-09-18,Unassigned
TCK0224,High,Resolved,Access,Access Denied,Access Denied reported by user.,2024-05-12,2024-05-14,Unassigned
TCK0225,Medium,In Progress,Software,Network Down,Network Down reported by user.,2024-07-01,,Unassigned
TCK0226,Low,In Progress,Database,System Crash,System Crash reported by user.,2024-09-13,,Omar
TCK0227,High,Closed,Hardware,Password Reset,Password Reset reported by user.,2024-04-14,2024-04-19,Mike
TCK0228,High,In Progress,Security,Password Reset,Password Reset reported by user.,2024-01-12,,Mike
TCK0229,Medium,Resolved,Access,Login Issue,Login Issue reported by user.,2024-05-17,2024-05-21,Omar
TCK0230,High,Open,Software,Login Issue,Login Issue reported by user.,2024-11-14,,Sara
TCK0231,Low,Resolved,Software,Slow Performance,Slow Performance reported by user.,2024-12-13,2024-12-22,Unassigned
TCK0232,Critical,Open,Database,System Crash,System Crash reported by user.,2024-04-29,,Ayesha
TCK0233,Low,In Progress,Security,Access Denied,Access Denied reported by user.,2024-04-16,,Sara
TCK0234,High,In Progress,Network,Password Reset,Password Reset reported by user.,2024-10-22,,Fatima
TCK0235,Low,In Progress,Network,Slow Performance,Slow Performance reported by user.,2024-05-18,,Sara
TCK0236,High,Open,Hardware,Access Denied,Access Denied reported by user.,2024-01-21,,John
TCK0237,Critical,Open,Database,Password Reset,Password Reset reported by user.,2024-06-24,,Ayesha
TCK0238,Medium,Open,Hardware,Password Reset,Password Reset reported by user.,2024-10-22,,John
TCK0239,Low,In Progress,Security,System Crash,System Crash reported by user.,2024-08-21,,Mike
TCK0240,Critical,Closed,Hardware,Slow Performance,Slow Performance reported by user.,2024-10-18,2024-10-24,Ayesha
TCK0241,Critical,Resolved,Hardware,Password Reset,Password Reset reported by user.,2024-01-07,2024-01-16,Mike
TCK0242,Medium,Closed,Software,Network Down,Network Down reported by user.,2024-04-09,2024-04-17,Fatima
TCK0243,Critical,Closed,Security,System Crash,System Crash reported by user.,2024-04-07,2024-04-09,Ayesha
TCK0244,Critical,Resolved,Database,Network Down,Network Down reported by user.,2024-08-30,2024-09-07,Sara
TCK0245,High,Open,Database,Access Denied,Access Denied reported by user.,2024-04-29,,Sara
TCK0246,Critical,Open,Access,Network Down,Network Down reported by user.,2024-08-31,,Unassigned
TCK0247,Medium,Resolved,Database,Password Reset,Password Reset reported by user.,2024-03-27,2024-03-27,Fatima
TCK0248,Critical,Closed,Security,Slow Performance,Slow Performance reported by user.,2024-04-17,2024-04-23,Fatima
TCK0249,Medium,Closed,Database,Password Reset,Password Reset reported by user.,2024-04-01,2024-04-06,Fatima
TCK0250,Critical,Open,Security,Access Denied,Access Denied reported by user.,2024-07-31,,Omar
TCK0251,Critical,Closed,Database,System Crash,System Crash reported by user.,2024-12-13,2024-12-23,Sara
TCK0252,High,Closed,Database,Access Denied,Access Denied reported by user.,2024-11-07,2024-11-16,Sara
TCK0253,High,Resolved,Database,Password Reset,Password Reset reported by user.,2024-05-16,2024-05-17,Fatima
TCK0254,Critical,Open,Access,Password Reset,Password Reset reported by user.,2024-07-11,,Unassigned
TCK0255,Critical,Closed,Database,Password Reset,Password Reset reported by user.,2024-10-17,2024-10-17,Mike
TCK0256,Critical,Open,Software,Login Issue,Login Issue reported by user.,2024-08-06,,Sara
TCK0257,Low,Open,Hardware,System Crash,System Crash reported by user.,2024-03-25,,Unassigned
TCK0258,Medium,Open,Hardware,Login Issue,Login Issue reported by user.,2024-07-12,,Ayesha
TCK0259,Medium,Open,Security,Login Issue,Login Issue reported by user.,2024-03-15,,John
TCK0260,High,Resolved,Access,System Crash,System Crash reported by user.,2024-03-06,2024-03-11,Sara
TCK0261,Low,In Progress,Database,System Crash,System Crash reported by user.,2024-03-11,,Unassigned
TCK0262,Critical,In Progress,Database,Access Denied,Access Denied reported by user.,2024-11-12,,Mike
TCK0263,Low,Closed,Software,Access Denied,Access Denied reported by user.,2024-04-05,2024-04-13,John
TCK0264,High,Open,Software,Login Issue,Login Issue reported by user.,2024-06-08,,Omar
TCK0265,Critical,In Progress,Database,Login Issue,Login Issue reported by user.,2024-02-14,,John
TCK0266,High,Resolved,Software,Slow Performance,Slow Performance reported by user.,2024-06-11,2024-06-19,John
TCK0267,Critical,Resolved,Hardware,Access Denied,Access Denied reported by user.,2024-09-28,2024-10-06,Ayesha
TCK0268,Low,In Progress,Access,Password Reset,Password Reset reported by user.,2024-09-23,,Omar
TCK0269,High,Closed,Database,Slow Performance,Slow Performance reported by user.,2024-06-20,2024-06-28,Mike
TCK0270,Medium,In Progress,Security,Slow Performance,Slow Performance reported by user.,2024-03-29,,Ayesha
TCK0271,Critical,Closed,Hardware,Network Down,Network Down reported by user.,2024-07-29,2024-08-08,Fatima
TCK0272,Medium,Open,Security,Password Reset,Password Reset reported by user.,2024-12-03,,Sara
TCK0273,Medium,Closed,Network,Network Down,Network Down reported by user.,2024-05-19,2024-05-29,Mike
TCK0274,Critical,Resolved,Security,Network Down,Network Down reported by user.,2024-09-18,2024-09-27,Sara
TCK0275,High,Closed,Hardware,System Crash,System Crash reported by user.,2024-06-13,2024-06-21,Sara
TCK0276,Critical,Resolved,Access,System Crash,System Crash reported by user.,2024-10-20,2024-10-26,Sara
TCK0277,High,Closed,Hardware,Slow Performance,Slow Performance reported by user.,2024-01-31,2024-02-03,Ayesha
TCK0278,Critical,Closed,Network,Login Issue,Login Issue reported by user.,2024-04-11,2024-04-16,Sara
TCK0279,Low,In Progress,Hardware,Password Reset,Password Reset reported by user.,2024-03-04,,Sara
TCK0280,Medium,Open,Network,Login Issue,Login Issue reported by user.,2024-11-08,,John
TCK0281,Low,Open,Access,Login Issue,Login Issue reported by user.,2024-01-15,,John
TCK0282,Low,Open,Software,Login Issue,Login Issue reported by user.,2024-09-09,,John
TCK0283,Critical,Resolved,Network,System Crash,System Crash reported by user.,2024-02-05,2024-02-15,Unassigned
TCK0284,Medium,Closed,Security,Password Reset,Password Reset reported by user.,2024-01-20,2024-01-25,Omar
